image_path,title,popularity,release_date,image_height,image_width,person_count_L,person_count_UL
filtered_posters/poster_0.jpg,57 Seconds,1036.051,2023-09-29,750,500,2,3
filtered_posters/poster_1.jpg,Mission: Impossible - Dead Reckoning Part One,3132.329,2023-07-08,750,500,7,15
filtered_posters/poster_2.jpg,Expend4bles,1063.874,2023-09-15,750,500,7,13
filtered_posters/poster_3.jpg,Sound of Freedom,1271.779,2023-07-03,750,500,1,3
filtered_posters/poster_4.jpg,Nowhere,1290.251,2023-09-29,750,500,1,1
filtered_posters/poster_5.jpg,The Nun II,1706.801,2023-09-06,750,500,0,2
filtered_posters/poster_6.jpg,Talk to Me,1188.455,2023-07-26,750,500,0,0
filtered_posters/poster_7.jpg,Gran Turismo,1025.362,2023-08-09,750,500,2,3
filtered_posters/poster_8.jpg,Ballerina,1091.044,2023-10-05,750,500,1,1
filtered_posters/poster_9.jpg,Retribution,697.448,2023-08-23,750,500,1,1
filtered_posters/poster_10.jpg,The Kill Room,705.024,2023-09-14,750,500,4,4
filtered_posters/poster_11.jpg,Muzzle,855.615,2023-09-29,750,500,2,4
filtered_posters/poster_12.jpg,Meg 2: The Trench,942.047,2023-08-02,750,500,1,1
filtered_posters/poster_13.jpg,Fast X,761.431,2023-05-17,750,500,10,21
filtered_posters/poster_14.jpg,PAW Patrol: The Mighty Movie,897.568,2023-09-21,750,500,4,10
filtered_posters/poster_15.jpg,After Everything,667.278,2023-09-13,750,500,1,2
filtered_posters/poster_16.jpg,Barbie,637.727,2023-07-19,750,500,2,3
filtered_posters/poster_17.jpg,Overhaul,579.324,2023-09-27,750,500,2,7
filtered_posters/poster_18.jpg,Uri: The Surgical Strike,532.808,2019-01-11,750,500,1,4
filtered_posters/poster_19.jpg,Elemental,558.946,2023-06-14,750,500,1,6
filtered_posters/poster_20.jpg,Transformers: Rise of the Beasts,546.911,2023-06-06,750,500,0,4
filtered_posters/poster_21.jpg,Saw X,521.01,2023-09-26,750,500,0,4
filtered_posters/poster_22.jpg,Totally Killer,490.274,2023-09-28,750,500,0,4
filtered_posters/poster_23.jpg,Haunted Mansion,486.811,2023-07-26,750,500,4,10
filtered_posters/poster_24.jpg,Race to the Summit,438.188,2023-10-04,750,500,1,1
filtered_posters/poster_25.jpg,Spider-Man: Across the Spider-Verse,457.419,2023-05-31,750,500,4,8
filtered_posters/poster_26.jpg,V/H/S/85,456.884,2023-09-22,750,500,1,2
filtered_posters/poster_27.jpg,Sniper: G.R.I.T. - Global Response & Intelligence Team,426.978,2023-09-26,750,500,6,6
filtered_posters/poster_28.jpg,Killers of the Flower Moon,426.252,2023-10-18,750,500,2,2
filtered_posters/poster_29.jpg,The Exorcist: Believer,424.79,2023-10-04,750,500,0,3
filtered_posters/poster_30.jpg,Indiana Jones and the Dial of Destiny,420.768,2023-06-28,750,500,7,9
filtered_posters/poster_31.jpg,John Wick: Chapter 4,408.059,2023-03-22,750,500,1,1
filtered_posters/poster_32.jpg,The Flash,388.005,2023-06-13,750,500,0,0
filtered_posters/poster_33.jpg,Mortal Kombat Legends: Cage Match,413.412,2023-10-17,750,500,1,2
filtered_posters/poster_34.jpg,Oppenheimer,400.615,2023-07-19,750,500,0,3
filtered_posters/poster_35.jpg,The Super Mario Bros. Movie,393.338,2023-04-05,750,500,2,12
filtered_posters/poster_36.jpg,Carl's Date,373.017,2023-06-15,750,500,1,4
filtered_posters/poster_37.jpg,Zero Fucks Given,357.292,2022-03-02,750,500,1,1
filtered_posters/poster_38.jpg,Pet Sematary: Bloodlines,368.519,2023-09-23,750,500,1,1
filtered_posters/poster_39.jpg,The Mill,352.035,2023-10-09,750,500,1,1
filtered_posters/poster_40.jpg,Know Fear,320.501,2022-01-20,750,500,1,5
filtered_posters/poster_41.jpg,Let Her Kill You,318.53,2023-03-08,750,500,0,2
filtered_posters/poster_42.jpg,Finnick,338.429,2022-03-24,750,500,1,6
filtered_posters/poster_43.jpg,¿Quieres ser mi hijo?,311.918,2023-09-21,750,500,2,3
filtered_posters/poster_44.jpg,The Ritual Killer,311.611,2023-03-09,750,500,2,4
filtered_posters/poster_45.jpg,The Little Mermaid,308.875,2023-05-18,750,500,2,3
filtered_posters/poster_46.jpg,Kandahar,308.138,2023-05-25,750,500,2,3
filtered_posters/poster_47.jpg,No One Will Save You,283.041,2023-09-22,750,500,0,0
filtered_posters/poster_48.jpg,Operation Napoleon,301.002,2023-01-26,750,500,2,3
filtered_posters/poster_49.jpg,Amigos,269.001,2023-02-10,750,500,0,2
filtered_posters/poster_50.jpg,Guardians of the Galaxy Vol. 3,278.161,2023-05-03,750,500,6,9
filtered_posters/poster_51.jpg,It Lives Inside,266.115,2023-09-06,750,500,1,1
filtered_posters/poster_52.jpg,My Fault,263.963,2023-06-08,750,500,2,3
filtered_posters/poster_53.jpg,Don't Look Away,258.19,2023-09-01,750,500,0,0
filtered_posters/poster_54.jpg,Heart of Stone,257.526,2023-08-09,750,500,1,1
filtered_posters/poster_55.jpg,Appendage,250.304,2023-03-11,750,500,0,1
filtered_posters/poster_56.jpg,Teenage Mutant Ninja Turtles: Mutant Mayhem,254.841,2023-07-31,750,500,0,6
filtered_posters/poster_57.jpg,Strays,249.594,2023-08-17,750,500,2,3
filtered_posters/poster_58.jpg,Mondocane,249.443,2021-09-03,750,500,7,10
filtered_posters/poster_59.jpg,The Black Book,246.957,2023-09-22,750,500,5,6
filtered_posters/poster_60.jpg,Avatar: The Way of Water,247.406,2022-12-14,750,500,4,6
filtered_posters/poster_61.jpg,Just Super,238.823,2022-09-30,750,500,0,4
filtered_posters/poster_62.jpg,Puss in Boots: The Last Wish,233.476,2022-12-07,750,500,1,7
filtered_posters/poster_63.jpg,Detective Conan: Black Iron Submarine,233.192,2023-04-14,750,500,11,22
filtered_posters/poster_64.jpg,Ogre,232.016,2022-04-20,750,500,1,2
filtered_posters/poster_65.jpg,Insidious: The Red Door,228.996,2023-07-05,750,500,1,6
filtered_posters/poster_66.jpg,Adipurush,230.466,2023-06-16,750,500,1,2
filtered_posters/poster_67.jpg,Make Me Scream,230.311,2023-10-02,750,500,1,14
filtered_posters/poster_68.jpg,Two Of A Kind,226.513,2022-09-28,750,500,3,6
filtered_posters/poster_69.jpg,The Equalizer,223.155,2014-09-24,750,500,1,2
filtered_posters/poster_70.jpg,The Creator,223.103,2023-09-27,750,500,1,4
filtered_posters/poster_71.jpg,Fair Play,211.821,2023-09-28,750,500,2,3
filtered_posters/poster_72.jpg,"Scooby-Doo! And Krypto, Too!",206.625,2023-09-26,750,500,0,4
filtered_posters/poster_73.jpg,Monster Inside: America's Most Extreme Haunted House,199.411,2023-10-12,750,500,0,1
filtered_posters/poster_74.jpg,One Piece Film Red,196.996,2022-08-06,750,500,2,4
filtered_posters/poster_75.jpg,"Ruby Gillman, Teenage Kraken",196.004,2023-06-28,750,500,3,8
filtered_posters/poster_76.jpg,Mavka: The Forest Song,194.396,2023-03-02,750,500,0,1
filtered_posters/poster_77.jpg,The Flood,191.371,2023-07-14,750,500,0,0
filtered_posters/poster_78.jpg,No Hard Feelings,188.787,2023-06-15,750,500,2,2
filtered_posters/poster_79.jpg,Spy Kids: Armageddon,186.382,2023-09-22,750,500,0,9
filtered_posters/poster_80.jpg,Resident Evil: Death Island,186.062,2023-06-22,750,500,1,10
filtered_posters/poster_81.jpg,The Last Voyage of the Demeter,185.094,2023-08-09,750,500,1,3
filtered_posters/poster_82.jpg,"Miraculous: Ladybug & Cat Noir, The Movie",182.087,2023-07-05,750,500,0,5
filtered_posters/poster_83.jpg,Top Gun: Maverick,181.654,2022-05-24,750,500,1,2
filtered_posters/poster_84.jpg,Dark Harvest,181.619,2023-10-11,750,500,0,1
filtered_posters/poster_85.jpg,Finding Steve McQueen,175.665,2019-03-15,750,500,5,5
filtered_posters/poster_86.jpg,Spider-Man: No Way Home,178.162,2021-12-15,750,500,3,9
filtered_posters/poster_87.jpg,Warhorse One,174.908,2023-06-30,750,500,0,2
filtered_posters/poster_88.jpg,Cats in the Museum,175.212,2023-03-23,750,500,1,3
filtered_posters/poster_89.jpg,Sisu,172.368,2023-01-27,750,500,2,7
filtered_posters/poster_90.jpg,A Deadly Invitation,169.776,2023-10-06,750,500,1,3
filtered_posters/poster_91.jpg,The Pope's Exorcist,169.625,2023-04-05,750,500,0,2
filtered_posters/poster_92.jpg,Guy Ritchie's The Covenant,169.526,2023-04-19,750,500,2,2
filtered_posters/poster_93.jpg,The Conference,166.984,2023-10-13,750,500,3,4
filtered_posters/poster_94.jpg,Heist 88,167.279,2023-09-29,750,500,1,1
filtered_posters/poster_95.jpg,Scream VI,166.343,2023-03-08,750,500,8,16
filtered_posters/poster_96.jpg,Jikirag,165.941,2022-09-02,750,500,1,1
filtered_posters/poster_97.jpg,Avengers: Infinity War,165.451,2018-04-25,750,500,14,24
filtered_posters/poster_98.jpg,Knights of the Zodiac,164.398,2023-04-27,750,500,3,7
filtered_posters/poster_99.jpg,Rick and Morty: The Great Yokai Battle of Akihabara,162.36,2021-10-11,750,500,0,3
filtered_posters/poster_100.jpg,Zack Snyder's Justice League,160.646,2021-03-18,750,500,1,8
filtered_posters/poster_101.jpg,Lost in the Stars,161.337,2023-06-22,750,500,1,4
filtered_posters/poster_102.jpg,Ant-Man and the Wasp: Quantumania,160.504,2023-02-15,750,500,1,3
filtered_posters/poster_103.jpg,Angela,160.079,2023-09-07,750,500,1,2
filtered_posters/poster_104.jpg,Extraction 2,160.386,2023-06-09,750,500,1,1
filtered_posters/poster_105.jpg,The Nun,155.728,2018-09-05,750,500,1,1
filtered_posters/poster_106.jpg,Encanto,156.685,2021-10-13,750,500,6,17
filtered_posters/poster_107.jpg,The Tomorrow War,155.366,2021-09-03,750,500,2,7
filtered_posters/poster_108.jpg,Creed III,152.434,2023-03-01,750,500,2,4
filtered_posters/poster_109.jpg,The Seven Deadly Sins: Grudge of Edinburgh Part 2,151.76,2023-08-08,750,500,1,3
filtered_posters/poster_110.jpg,Black Panther: Wakanda Forever,150.496,2022-11-09,750,500,3,10
filtered_posters/poster_111.jpg,M3GAN,149.404,2022-12-28,750,500,1,2
filtered_posters/poster_112.jpg,Evil Dead Rise,150.134,2023-04-12,750,500,2,3
filtered_posters/poster_113.jpg,After Ever Happy,150.078,2022-08-24,750,500,0,1
filtered_posters/poster_114.jpg,After,149.386,2019-04-11,750,500,0,2
filtered_posters/poster_115.jpg,Rage,147.721,2023-06-03,750,500,0,1
filtered_posters/poster_116.jpg,Shortcomings,147.519,2023-08-04,750,500,3,3
filtered_posters/poster_117.jpg,Special Delivery,147.508,2022-01-12,750,500,0,1
filtered_posters/poster_118.jpg,Freestyle,147.203,2023-09-13,750,500,0,0
filtered_posters/poster_119.jpg,The Conjuring: The Devil Made Me Do It,146.973,2021-05-25,750,500,1,1
filtered_posters/poster_120.jpg,Hidden Strike,147.475,2023-07-06,750,500,2,4
filtered_posters/poster_121.jpg,Hypnotic,146.912,2023-05-11,750,500,1,1
filtered_posters/poster_122.jpg,El hombre del saco,146.349,2023-08-11,750,500,1,9
filtered_posters/poster_123.jpg,The Burial,146.343,2023-10-06,750,500,2,3
filtered_posters/poster_124.jpg,After We Fell,146.027,2021-09-01,750,500,0,1
filtered_posters/poster_125.jpg,Ghost in the Shell: SAC_2045 Sustainable War,145.939,2021-12-21,750,500,0,0
filtered_posters/poster_126.jpg,Murder City,145.271,2023-06-29,750,500,0,3
filtered_posters/poster_127.jpg,The Equalizer 2,145.198,2018-07-19,750,500,1,2
filtered_posters/poster_128.jpg,Stalker,143.022,2020-08-31,750,500,1,3
filtered_posters/poster_129.jpg,Me Vuelves Loca,142.073,2023-09-07,750,500,1,2
filtered_posters/poster_130.jpg,Mojave Diamonds,141.503,2023-08-24,750,500,3,4
filtered_posters/poster_131.jpg,The Rat Catcher,138.658,2023-09-29,750,500,1,1
filtered_posters/poster_132.jpg,Dungeons & Dragons: Honor Among Thieves,140.138,2023-03-23,750,500,3,9
filtered_posters/poster_133.jpg,Bottoms,137.325,2023-08-25,750,500,3,12
filtered_posters/poster_134.jpg,A Really Haunted Loud House,137.483,2023-09-28,750,500,2,4
filtered_posters/poster_135.jpg,Shazam! Fury of the Gods,139.808,2023-03-15,750,500,5,13
filtered_posters/poster_136.jpg,Legacy Peak,136.123,2022-09-22,750,500,1,6
filtered_posters/poster_137.jpg,Mob Land,135.101,2023-08-04,750,500,2,3
filtered_posters/poster_138.jpg,Poison,134.602,2023-09-30,750,500,1,1
filtered_posters/poster_139.jpg,Reptile,134.093,2023-09-29,750,500,0,1
filtered_posters/poster_140.jpg,Epic Tails,134.465,2023-01-25,750,500,3,7
filtered_posters/poster_141.jpg,The Hummingbird,133.35,2022-10-14,750,500,4,5
filtered_posters/poster_142.jpg,TAYLOR SWIFT | THE ERAS TOUR,133.912,2023-10-12,750,500,0,2
filtered_posters/poster_143.jpg,San Andreas,127.299,2015-05-27,750,500,2,4
filtered_posters/poster_144.jpg,Dog,127.239,2022-02-17,750,500,1,3
filtered_posters/poster_145.jpg,Mira,127.058,2022-12-22,750,500,0,0
filtered_posters/poster_146.jpg,Soulcatcher,126.467,2023-08-02,750,500,1,1
filtered_posters/poster_147.jpg,After We Collided,124.487,2020-09-02,750,500,0,0
filtered_posters/poster_148.jpg,Black Adam,124.158,2022-10-19,750,500,2,7
filtered_posters/poster_149.jpg,War of the Worlds : The Attack,124.471,2023-04-21,750,500,2,7
filtered_posters/poster_150.jpg,I Am Rage,123.781,2023-09-14,750,500,1,3
filtered_posters/poster_151.jpg,El Conde,123.14,2023-09-08,750,500,0,2
filtered_posters/poster_152.jpg,Fall,121.466,2022-08-11,750,500,0,1
filtered_posters/poster_153.jpg,Awareness,120.47,2023-03-16,750,500,6,14
filtered_posters/poster_154.jpg,Black Clover: Sword of the Wizard King,121.392,2023-06-16,750,500,6,15
filtered_posters/poster_155.jpg,Cobweb,120.444,2023-07-19,750,500,0,2
filtered_posters/poster_156.jpg,Jurassic World Dominion,119.426,2022-06-01,750,500,6,10
